,class,tax_order,family,genus,genus sp.
402,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon bifasciatus
403,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,Abramis brama
404,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus dorsalis
405,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,Acanthopagrus schlegelii
406,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,Notropis blennius
407,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,Catostomus catostomus
408,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,Chrysiptera cyanea
409,Actinopterygii,Perciformes,Cichlidae,Herotilapia,Herotilapia multispinosa
410,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,Cichlasoma citrinellum
411,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,Sardinops sagax
412,Actinopterygii,Perciformes,Haemulidae,Haemulon,Haemulon sp.
413,Actinopterygii,Perciformes,Gerreidae,Eucinostomus,Eucinostomus gula
414,Actinopterygii,Perciformes,Gerreidae,Gerres,Gerres cinereus
415,Actinopterygii,Cyprinodontiformes,Fundulidae,Lucania,Lucania parva
416,Actinopterygii,Perciformes,Sparidae,Archosargus,Archosargus probatocephalus
417,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus gobio
418,Actinopterygii,Perciformes,Gobiidae,Proterorhinus,Proterorhinus marmoratus
419,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,Rutilus caspicus
420,Actinopterygii,Atheriniformes,Melanotaeniidae,Pseudomugil,Pseudomugil signifer
421,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia mexicana
422,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis japonicus
423,Actinopterygii,Perciformes,Kyphosidae,Microcanthus,Microcanthus strigatus
424,Actinopterygii,Tetraodontiformes,Balistidae,Navodon,Navodon modestus
425,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja clavata
426,Actinopterygii,Cypriniformes,Catostomidae,Xyrauchen,Xyrauchen texanus
427,Actinopterygii,Cypriniformes,Cyprinidae,Gila,Gila elegans
428,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gilae
429,Actinopterygii,Perciformes,Serranidae,Serranus,Serranus cabrilla
430,Actinopterygii,Perciformes,Percidae,Perca,Perca sp.
431,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,Fundulus confluentus
432,Actinopterygii,Cypriniformes,Cyprinidae,Barilius,Barilius vagra
433,Actinopterygii,Osteoglossiformes,Mormyridae,Gnathonemus,Gnathonemus tamandua
434,Actinopterygii,Perciformes,Gobiidae,Neogobius,Neogobius melanostomus
435,Actinopterygii,Perciformes,Gobiidae,Neogobius,Neogobius fluviatilis
436,Actinopterygii,Acipenseriformes,Acipenseridae,Huso,Huso huso
437,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser ruthenus
438,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,Rhinichthys osculus
439,Actinopterygii,Mugiliformes,Mugilidae,Mugil,Mugil saliens
440,Actinopterygii,Perciformes,Zoarcidae,Zoarces,Zoarces viviparus
441,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser baerii
442,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia sphenops
443,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Adinia,Adinia xenica
444,Actinopterygii,Cypriniformes,Cyprinidae,Acheilognathus,Acheilognathus moriokae
445,Actinopterygii,Siluriformes,Siluridae,Wallago,Wallago attu
446,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,Labeo bata
447,Actinopterygii,Cypriniformes,Cyprinidae,Vimba,Vimba vimba
448,Actinopterygii,Perciformes,Sparidae,Diplodus,Diplodus bermudensis
449,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,Holocentrus rufus
450,Actinopterygii,Perciformes,Haemulidae,Haemulon,Haemulon flavolineatum
451,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,Poeciliopsis monacha
452,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias
453,Actinopterygii,Pleuronectiformes,Scophthalmidae,Psetta,Psetta maeotica
454,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,Lampetra appendix
455,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus argentimaculatus
456,Actinopterygii,Siluriformes,Callichthyidae,Callichthys,Callichthys callichthys
457,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilus,Aplocheilus melanostigma
458,Actinopterygii,Perciformes,Serranidae,Epinephelus,Epinephelus sp.
459,Actinopterygii,Pleuronectiformes,Soleidae,Trinectes,Trinectes maculatus
460,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,Fundulus ocellaris
461,Actinopterygii,Cyprinodontiformes,Poeciliidae,Heterandria,Heterandria formosa
462,Actinopterygii,Cypriniformes,Balitoridae,Nemacheilus,Nemacheilus botia
463,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,Cichlasoma nigrofasciatum
464,Actinopterygii,Perciformes,Oplegnathidae,Oplegnathus,Oplegnathus fasciatus
465,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,Notropis anogenus
466,Actinopterygii,Perciformes,Gobiidae,Gobio,Gobio gobio
467,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Coregonus lavaretus
468,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Coregonus peled
469,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser stellatus
470,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus
471,Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,Rhodeus sericeus
472,Actinopterygii,Cypriniformes,Cyprinidae,Esomus,Esomus danricus
473,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja ocellata
474,Actinopterygii,Atheriniformes,Atherinidae,Basilichthys,Basilichthys australis
475,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia kottae
476,Actinopterygii,Perciformes,Cichlidae,Hemichromis,Hemichromis fasciatus
477,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,Labeo calbasu
478,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus maculosus
479,Actinopterygii,Perciformes,Eleotridae,Hypseleotris,Hypseleotris galii
480,Actinopterygii,Cypriniformes,Cyprinidae,Chalcalburnus,Chalcalburnus chalcoides
481,Actinopterygii,Cypriniformes,Cyprinidae,Squalius,Squalius cephalus
482,Actinopterygii,Cypriniformes,Cyprinidae,Zacco,Zacco platypus
483,Actinopterygii,Siluriformes,Ictaluridae,Noturus,Noturus miurus
484,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis marginatus
485,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus sp.
486,Actinopterygii,Perciformes,Anabantidae,Betta,Betta splendens
487,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,Abramis ballerus
488,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres poecilopterus
489,Actinopterygii,Tetraodontiformes,Tetraodontidae,Fugu,Fugu niphobles
490,Actinopterygii,Perciformes,Centropomidae,Ambassis,Ambassis sp.
491,Actinopterygii,Perciformes,Cichlidae,Pseudocrenilabrus,Pseudocrenilabrus philander
492,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus anoplus
493,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus natalensis
494,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus gurneyi
495,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus leucostictus
496,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja eglanteria
497,Actinopterygii,Tetraodontiformes,Tetraodontidae,Monacanthus,Monacanthus hispidus
498,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Coregonus migratorius
499,Actinopterygii,Perciformes,Nandidae,Nandus,Nandus nandus
500,Actinopterygii,Cypriniformes,Cyprinidae,Zacco,Zacco temmincki
501,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius virens
502,Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,Spinachia spinachia
503,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus scorpius
504,Actinopterygii,Siluriformes,Pimelodidae,Pimelodus,Pimelodus maculatus
505,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis punctipinnis
506,Chondrichthyes,Rajiformes,Rajidae,Leucoraja,Leucoraja erinacea
507,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,Paralichthys lethostigma
508,Chondrichthyes,Rajiformes,Dasyatidae,Dasyatis,Dasyatis sabina
509,Actinopterygii,Gadiformes,Gadidae,Microgadus,Microgadus tomcod
510,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia spilurus
511,Actinopterygii,Perciformes,Cichlidae,Australoheros,Australoheros facetus
512,Actinopterygii,Cypriniformes,Cyprinidae,Nothobranchius,Nothobranchius guentheri
513,Actinopterygii,Perciformes,Percidae,Eupomatis,Eupomatis gibbosus
514,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia natalensis
515,Actinopterygii,Perciformes,Cichlidae,Cichla,Cichla ocellaris
516,Actinopterygii,Perciformes,Cichlidae,Astronotus,Astronotus ocellatus
517,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia vivipara
518,Actinopterygii,Perciformes,Channidae,Channa,Channa argus
519,Actinopterygii,Siluriformes,Bagridae,Mystus,Mystus cavasius
520,Actinopterygii,Perciformes,Cichlidae,Haplochromis,Haplochromis burtoni
521,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus
522,Actinopterygii,Perciformes,Cichlidae,Sarotherodon,Sarotherodon galilaeus
523,Actinopterygii,Perciformes,Cichlidae,Etroplus,Etroplus suratensis
524,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio malabaricus
525,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,Prosopium williamsoni
526,Actinopterygii,Cypriniformes,Cyprinidae,Nuria,Nuria danrica
527,Actinopterygii,Mugiliformes,Mugilidae,Rhinomugil,Rhinomugil corsula
528,Actinopterygii,Perciformes,Gobiidae,Chasmichthys,Chasmichthys gulosus
529,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon dearborni
530,Actinopterygii,Cypriniformes,Balitoridae,Noemacheilus,Noemacheilus denisonii
531,Actinopterygii,Cypriniformes,Cyprinidae,Nothobranchius,Nothobranchius rachovii
532,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides
533,Actinopterygii,Scorpaeniformes,Cyclopteridae,Cyclopterus,Cyclopterus lumpus
534,Actinopterygii,Perciformes,Gobiidae,Acanthogobius,Acanthogobius flavimanus
535,Actinopterygii,Perciformes,Centrarchidae,Chaenobryttus,Chaenobryttus gulosus
536,Actinopterygii,Cypriniformes,Cyprinidae,Garra,Garra mullya
537,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilus,Aplocheilus lineatus
538,Actinopterygii,Perciformes,Osphronemidae,Pseudosphromenus,Pseudosphromenus cupanus
539,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia formosa
540,Actinopterygii,Batrachoidiformes,Batrachoididae,Halobatrachus,Halobatrachus didactylus
541,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser gueldenstaedtii
542,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,Rutilus kutum
543,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius gibelio
544,Actinopterygii,Batrachoidiformes,Batrachoididae,Opsanus,Opsanus beta
545,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion ocellaris
546,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus sharpeyi
547,Actinopterygii,Perciformes,Cichlidae,Geophagus,Geophagus brasiliensis
548,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus alpinus
549,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,Labeo umbratus
550,Actinopterygii,Perciformes,Centrarchidae,Micropterus,Micropterus treculii
551,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,Rasbora sp.
552,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Petromyzon,Petromyzon sp.
553,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,Ichthyomyzon sp.
554,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,Lampetra sp.
555,Actinopterygii,Characiformes,Curimatidae,Semaprochilodus,Semaprochilodus insignis
556,Actinopterygii,Cypriniformes,Cyprinidae,Opsariichthys,Opsariichthys uncirostris
557,Actinopterygii,Perciformes,Percidae,Gymnocephalus,Gymnocephalus cernuus
558,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Coregonus muksun
559,Actinopterygii,Siluriformes,Bagridae,Mystus,Mystus keletius
560,Actinopterygii,Cypriniformes,Balitoridae,Noemacheilus,Noemacheilus montanus
561,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,Poeciliopsis sp.
562,Actinopterygii,Siluriformes,Plotosidae,Cnidoglanis,Cnidoglanis macrocephalus
563,Actinopterygii,Perciformes,Sillaginidae,Sillago,Sillago bassensis
564,Actinopterygii,Atheriniformes,Atherinidae,Atherina,Atherina hepsetus
565,Actinopterygii,Mugiliformes,Mugilidae,Liza,Liza aurata
566,Actinopterygii,Perciformes,Gobiidae,Gobius,Gobius niger
567,Actinopterygii,Siluriformes,Bagridae,Mystus,Mystus bleekeri
568,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis symmetricus
569,Actinopterygii,Cypriniformes,Cyprinidae,Phoxinus,Phoxinus lagowskii
570,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus hakonensis
571,Actinopterygii,Cypriniformes,Cyprinidae,Eigenmannia,Eigenmannia virescens
572,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio devario
573,Actinopterygii,Perciformes,Centropomidae,Ambassis,Ambassis gymnocephalus
574,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilus,Aplocheilus panchax
575,Actinopterygii,Cypriniformes,Cyprinidae,Chela,Chela cachius
576,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,Oryzias melastigma
577,Actinopterygii,Cyprinodontiformes,Poeciliidae,Cnesterodon,Cnesterodon decemmaculatus
578,Actinopterygii,Perciformes,Sparidae,Stenotomus,Stenotomus versicolor
579,Actinopterygii,Cypriniformes,Cyprinidae,Platygobio,Platygobio gracilis
580,Actinopterygii,Percopsiformes,Percopsidae,Percopsis,Percopsis omiscomaycus
581,Actinopterygii,Gadiformes,Gadidae,Lota,Lota lota
582,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis auritus
583,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,Melanotaenia fluviatilis
584,Actinopterygii,Characiformes,Characidae,Astyanax,Astyanax bimaculatus
585,Actinopterygii,Perciformes,Gobiidae,Gobius,Gobius sp.
586,Actinopterygii,Siluriformes,Plotosidae,Plotosus,Plotosus anguillaris
587,Actinopterygii,Perciformes,Serranidae,Epinephelus,Epinephelus akaara
588,Actinopterygii,Semionotiformes,Lepisosteidae,Lepisosteus,Lepisosteus oculatus
589,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,Brevoortia sp.
590,Actinopterygii,Gasterosteiformes,Syngnathidae,Syngnathus,Syngnathus sp.
591,Actinopterygii,Perciformes,Sciaenidae,Argyrosomus,Argyrosomus japonicus
592,Actinopterygii,Mugiliformes,Mugilidae,Liza,Liza parsia
593,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,Catostomus platyrhynchus
594,Actinopterygii,Cypriniformes,Cyprinidae,Hybognathus,Hybognathus placitus
595,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus aenaeus
596,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus coelestis
597,Actinopterygii,Siluriformes,Mochokidae,Synodontis,Synodontis sp.
598,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus sp.
599,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilichthys,Aplocheilichthys johnstonii
600,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,Pomatoschistus microps
601,Actinopterygii,Synbranchiformes,Mastacembelidae,Macrognathus,Macrognathus aculeatus
602,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,Trichomycterus brasiliensis
603,Actinopterygii,Perciformes,Centrarchidae,Micropterus,Micropterus punctulatus
604,Actinopterygii,Perciformes,Gerreidae,Eucinostomus,Eucinostomus argenteus
605,Actinopterygii,Siluriformes,Clariidae,Clarias,Clarias ngamensis
606,Actinopterygii,Perciformes,Belonidae,Belone,Belone belone
607,Actinopterygii,Characiformes,Hepsetidae,Hepsetus,Hepsetus odoe
608,Actinopterygii,Perciformes,Labridae,Ctenolabrus,Ctenolabrus rupestris
609,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,Paralichthys orbignyanus
610,Actinopterygii,Perciformes,Sillaginidae,Sillago,Sillago japonica
611,Actinopterygii,Perciformes,Cichlidae,Oreochromis,Oreochromis mossambicus X urolepis
612,Actinopterygii,Siluriformes,Ictaluridae,Platycephalus,Platycephalus bassensis
613,Actinopterygii,Perciformes,Gobiidae,Bathygobius,Bathygobius fuscus
614,Actinopterygii,Perciformes,Haemulidae,Orthopristis,Orthopristis ruber
615,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,Acanthopagrus australis
616,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,Cichlasoma managuense
617,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus hippoglossus
618,Actinopterygii,Perciformes,Nototheniidae,Trematomus,Trematomus bernacchii
619,Actinopterygii,Cypriniformes,Cyprinidae,Opsopoeodus,Opsopoeodus emiliae
620,Actinopterygii,Perciformes,Haemulidae,Parapristipoma,Parapristipoma trilineatum
621,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,Sebastes schlegelii
622,Actinopterygii,Siluriformes,Ariidae,Nemapteryx,Nemapteryx nenga
623,Actinopterygii,Perciformes,Channidae,Channa,Channa stewartii
624,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia macrochir
625,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia pangani
626,Actinopterygii,Cypriniformes,Cyprinidae,Garra,Garra gotyla
627,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphyosemion,Aphyosemion gardneri
628,Actinopterygii,Perciformes,Serranidae,Epinephelus,Epinephelus adscensionis
629,Actinopterygii,Perciformes,Serranidae,Cephalopholis,Cephalopholis cruentata
630,Actinopterygii,Perciformes,Lutjanidae,Ocyurus,Ocyurus chrysurus
631,Actinopterygii,Siluriformes,Bagridae,Chrysichthys,Chrysichthys auratus
632,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,Fundulus sp.
633,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,Lampetra fluviatilis
634,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus kitt
635,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,Notropis ludibundis
636,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus
637,Actinopterygii,Esociformes,Esocidae,Esox,Esox americanus
638,Actinopterygii,Perciformes,Teraponidae,Pelsartia,Pelsartia humeralis
639,Actinopterygii,Cypriniformes,Cyprinidae,Phoxinus,Phoxinus neogaeus
640,Actinopterygii,Characiformes,Characidae,Paracheirodon,Paracheirodon axelrodi
641,Actinopterygii,Perciformes,Percichthyidae,Macquaria,Macquaria novemaculeata
642,Actinopterygii,Cypriniformes,Catostomidae,Myxocyprinus,Myxocyprinus asiaticus
643,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Coregonus artedii
644,Actinopterygii,Cypriniformes,Cyprinidae,Acrossocheilus,Acrossocheilus paradoxus
645,Actinopterygii,Cypriniformes,Cyprinidae,Orthodon,Orthodon microlepidotus
646,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,Catostomus latipinnis
647,Actinopterygii,Siluriformes,Bagridae,Hemibagrus,Hemibagrus nemurus
648,Actinopterygii,Siluriformes,Loricariidae,Hypostomus,Hypostomus plecostomus
649,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,Puntius tetrazona
650,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon herbertaxelrodi
651,Actinopterygii,Perciformes,Cichlidae,Pterophyllum,Pterophyllum scalare
652,Actinopterygii,Perciformes,Gobiidae,Periophthalmus,Periophthalmus dipus
653,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon sovichthys
654,Myxini,Myxiniformes,Myxinidae,Myxine,Myxine glutinosa
655,Actinopterygii,Cypriniformes,Catostomidae,Deltistes,Deltistes luxatus
656,Actinopterygii,Cypriniformes,Catostomidae,Chasmistes,Chasmistes brevirostris
657,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius cuvieri
658,Actinopterygii,Atheriniformes,Atherinidae,Austromenidia,Austromenidia laticlavia
659,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Galaxias fasciatus
660,Actinopterygii,Perciformes,Eleotridae,Gobiomorphus,Gobiomorphus cotidianus
661,Actinopterygii,Osmeriformes,Retropinnidae,Retropinna,Retropinna retropinna
662,Actinopterygii,Perciformes,Eleotridae,Gobiomorphus,Gobiomorphus huttoni
663,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla dieffenbachii
664,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla australis
665,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,Leuciscus leuciscus
666,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus ogac
667,Actinopterygii,Gadiformes,Gadidae,Eleginus,Eleginus navaga
668,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,Anarhichas lupus
669,Actinopterygii,Perciformes,Cichlidae,Heros,Heros severus
670,Actinopterygii,Characiformes,Characidae,Macropsobrycon,Macropsobrycon uruguayanae
671,Actinopterygii,Siluriformes,Pimelodidae,Lophiosilurus,Lophiosilurus alexandri
672,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,Trichomycterus zonatus
673,Actinopterygii,Pleuronectiformes,Soleidae,Solea,Solea senegalensis
674,Actinopterygii,Perciformes,Centrarchidae,Enneacanthus,Enneacanthus chaetodon
675,Actinopterygii,Characiformes,Characidae,Aphyocharax,Aphyocharax rubripinnis
676,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,Puntius cumingii
677,Actinopterygii,Perciformes,Sparidae,Sparus,Sparus sp.
678,Actinopterygii,Siluriformes,Clariidae,Clarias,Clarias albopunctatus
679,Actinopterygii,Characiformes,Characidae,Paracheirodon,Paracheirodon innesi
680,Actinopterygii,Perciformes,Gobiidae,Apocryptes,Apocryptes bato
681,Actinopterygii,Cypriniformes,Cyprinidae,Danio,Danio aequipinnatus
682,Actinopterygii,Characiformes,Characidae,Piaractus,Piaractus mesopotamicus
683,Actinopterygii,Characiformes,Curimatidae,Prochilodus,Prochilodus scrofa
684,Actinopterygii,Perciformes,Percidae,Etheostoma,Etheostoma rubrum
685,Actinopterygii,Perciformes,Percidae,Etheostoma,Etheostoma lepidum
686,Actinopterygii,Acipenseriformes,Acipenseridae,Scaphirhynchus,Scaphirhynchus platorynchus
687,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,Poeciliopsis occidentalis
688,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,Oryzias sp.
689,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo sp.
690,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,Aphanius iberus
691,Actinopterygii,Perciformes,Teraponidae,Hephaestus,Hephaestus carbo
692,Actinopterygii,Perciformes,Percidae,Etheostoma,Etheostoma fonticola
693,Actinopterygii,Cypriniformes,Cyprinidae,Gobiocypris,Gobiocypris rarus
694,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,Fundulus kansae
695,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus confluentus
696,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Cyprinodon bovinus
697,Actinopterygii,Siluriformes,Mochokidae,Synodontis,Synodontis eupterus
698,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,Taurulus bubalis
699,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius pollachius
700,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus octodecemspinosus
701,Actinopterygii,Cypriniformes,Cyprinidae,Erimonax,Erimonax monachus
702,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus
703,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser brevirostrum
704,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,Notropis mekistocholas
705,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser oxyrhynchus
706,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,Ictalurus platycephalus
707,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,Limanda punctatissima
708,Actinopterygii,Cypriniformes,Cyprinidae,Pogonichthys,Pogonichthys macrolepidotus
709,Actinopterygii,Perciformes,Gobiidae,Boleophthalmus,Boleophthalmus boddarti
710,Actinopterygii,Perciformes,Gobiidae,Periophthalmodon,Periophthalmodon schlosseri
711,Actinopterygii,Characiformes,Erythrinidae,Hoplias,Hoplias malabaricus
712,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,Rhamdia quelen
713,Actinopterygii,Perciformes,Cichlidae,Aulonocara,Aulonocara jacobfreibergi
714,Actinopterygii,Characiformes,Characidae,Brycon,Brycon cephalus
715,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Galaxias truttaceus
716,Actinopterygii,Perciformes,Labridae,Symphodus,Symphodus melops
717,Actinopterygii,Perciformes,Siganidae,Siganus,Siganus guttatus
718,Actinopterygii,Perciformes,Serranidae,Epinephelus,Epinephelus coioides
719,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,Odontesthes regia
720,Actinopterygii,Cypriniformes,Cyprinidae,Onychostoma,Onychostoma barbata
721,Actinopterygii,Cypriniformes,Cyprinidae,Candidia,Candidia barbatus
722,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,Odontesthes bonariensis
723,Actinopterygii,Cyprinodontiformes,Rivulidae,Cynopoecilus,Cynopoecilus melanotaenia
724,Actinopterygii,Mugiliformes,Mugilidae,Liza,Liza carinata
725,Actinopterygii,Gymnotiformes,Apteronotidae,Apteronotus,Apteronotus leptorhynchus
726,Actinopterygii,Gadiformes,Gadidae,Theragra,Theragra chalcogramma
727,Actinopterygii,Cypriniformes,Cyprinidae,Barbonymus,Barbonymus gonionotus
728,Actinopterygii,Tetraodontiformes,Tetraodontidae,Takifugu,Takifugu rubripes
729,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras paleatus
730,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,Paralichthys sp.
731,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia guineensis
