,class,tax_order,family,genus,genus sp.
153,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,Pleuronectes platessa
154,Actinopterygii,Cypriniformes,Balitoridae,Noemacheilus,Noemacheilus barbatulus
155,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia latipinna
156,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta
157,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha
158,Actinopterygii,Perciformes,Gobiidae,Zosterisessor,Zosterisessor ophiocephalus
159,Actinopterygii,Perciformes,Sciaenidae,Cynoscion,Cynoscion nebulosus
160,Actinopterygii,Perciformes,Centropomidae,Centropomus,Centropomus undecimalis
161,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,Brevoortia patronus
162,Actinopterygii,Perciformes,Carangidae,Trachinotus,Trachinotus carolinus
163,Actinopterygii,Perciformes,Sparidae,Mylio,Mylio macrocephalus
164,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis megalotis
165,Actinopterygii,Semionotiformes,Lepisosteidae,Lepisosteus,Lepisosteus platostomus
166,Actinopterygii,Cypriniformes,Cyprinidae,Phoxinus,Phoxinus eos
167,Actinopterygii,Gasterosteiformes,Gasterosteidae,Culaea,Culaea inconstans
168,Actinopterygii,Perciformes,Sciaenidae,Aplodinotus,Aplodinotus grunniens
169,Actinopterygii,Amiiformes,Amiidae,Amia,Amia calva
170,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,Ameiurus catus
171,Actinopterygii,Siluriformes,Ictaluridae,Pylodictis,Pylodictis olivaris
172,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,Pomoxis nigromaculatus
173,Actinopterygii,Perciformes,Serranidae,Paralabrax,Paralabrax clathratus
174,Actinopterygii,Cypriniformes,Cyprinidae,Agosia,Agosia chrysogaster
175,Actinopterygii,Perciformes,Percidae,Etheostoma,Etheostoma flabellare
176,Actinopterygii,Perciformes,Percidae,Etheostoma,Etheostoma nigrum
177,Actinopterygii,Perciformes,Percidae,Etheostoma,Etheostoma spectabile
178,Actinopterygii,Perciformes,Percidae,Etheostoma,Etheostoma caeruleum
179,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,Rhinichthys atratulus
180,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,Luxilus chrysocephalus
181,Actinopterygii,Cyprinodontiformes,Poeciliidae,Xiphophorus,Xiphophorus maculatus
182,Actinopterygii,Perciformes,Centrarchidae,Enneacanthus,Enneacanthus gloriosus
183,Actinopterygii,Cypriniformes,Cyprinidae,Pseudorasbora,Pseudorasbora parva
184,Actinopterygii,Mugiliformes,Mugilidae,Mugil,Mugil curema
185,Actinopterygii,Osmeriformes,Osmeridae,Osmerus,Osmerus mordax
186,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus
187,Actinopterygii,Mugiliformes,Mugilidae,Mugil,Mugil auratus
188,Actinopterygii,Perciformes,Sparidae,Rhabdosargus,Rhabdosargus holubi
189,Actinopterygii,Gadiformes,Gadidae,Gaidropsarus,Gaidropsarus capensis
190,Actinopterygii,Perciformes,Sparidae,Diplodus,Diplodus sargus
191,Actinopterygii,Perciformes,Sparidae,Lithognathus,Lithognathus mormyrus
192,Actinopterygii,Perciformes,Sparidae,Pachymetopon,Pachymetopon blochii
193,Actinopterygii,Pleuronectiformes,Soleidae,Heteromycteris,Heteromycteris capensis
194,Actinopterygii,Pleuronectiformes,Soleidae,Synaptura,Synaptura kleini
195,Actinopterygii,Mugiliformes,Mugilidae,Liza,Liza haematocheilus
196,Actinopterygii,Perciformes,Moronidae,Morone,Morone mississippiensis
197,Actinopterygii,Perciformes,Centrarchidae,Lepomis,Lepomis humilis
