,pubchem2d
14,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000000000000000000000000000110000000100100000001001100000000010001100100000011010000000000000000000010000000000100000000000001000100000010000100000000000000000000000100000100000000000001000000010000000000000000010001000100000000000000001101000100010001000000011010010011000100010100001000011000100011010100000000011000000100010001001001100000000010001000010101010100000000111100000001100000010110000000011100010000000000000000000010000000000000000000000000100000000000000010000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000
15,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000110000010101000000000000000000000001111000000000000100000000000000000000000000000000110000000100100000001001100000000100001100100000111011000010110000000000010000000000100010000000001000100000010000100001100000000000000000100000100000000000001000000010000000000000000010001000100010000000000011100000100010001001000011000010011000100010100001000011000100011010100010000011001000100000001001001100001000010001000010001010100000000111100000001100000010110000000011101000000000000000000000010000000000000000000110000000000000000000000000000000000000000010000000000000000000110000000000000000000000000000000000000000000000000000000000000
16,11100000011110000011000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001100000000100000000000000000000000000000000000000110100000000100000000101100000000000001100100000000110000000000000000000000000000010100000000000001000100000010000100000000001110000010000100000000001000000001000000000000000000000000010001000100000011000000000000000000010001000000010000010000000100010100000000001000100010000100000000010000000000000001000001000000000000000000010001000100000000111000000001000000011000000000011101001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
17,11000000011000000011100000000010000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000001010000000000000100000100000000000000000000000000010101010001000000010000010000000100000000000000000000000000000001100010000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18,11000000011100000000000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000000001100000000010000000000000000000000000000000000000110100000010100000000001100010100000001100000000000010000000000000000000000000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000000010100000000000010001000100000000000000000000000001010001000000010000010000000100010100000010001001100010000100000000010000000000000001000001000000000000000000010001000100000000111000000001000000011000000000011101000010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19,00000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
20,11000000011000100011000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000100001000000000100000000000000000000000000000100000011000000000000010100000100000000000000000010000000000000100010000000010000100000000000001000100000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21,10000000011000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001110000000000000100000000000000000000000000000000100000001000110000010001001000000100001111001100000010010010010010000001000000000000101000000000000000110100011001110100010000000000100000101000000000100000001100010000001000100000000010001101100000100000001110000110010010011000000010000010000001100010110000001101000111010001100001000010010000001000011000001001000000000000110010001100100000000110000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
22,11000000011100000010000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000110000011000001100000100000000000001101000100000010000000000000000000000000000000000110000000000000000000000000000000000000000000000000000001101000000010000000000000000000000000000000000000110100010110101000001000000010000010000000000000000000000000000000000000010000000000100000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000000000100001000000000000000000001000001000000000000000000000000010000000010000000000000000000000100000000000000000000001001000000000000000000010000000000000000011100000001100000011110000000011101000000000000000000000000000000000000000000000000000000000000000010000000000000000000110000000000000000000110000000000000000000110010000000000000100110010000000000000100
23,11100000011110110011110000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000010000001000000000000000000000000000000000000000000000000100000010000000000000000000000000001111000000000000100000000100000000000000000000000110101111100111000011001100000000110001100100000011010000011010000000000001000000000100010000000001010100001010100100001000000000010100000100000000000000000001000000010000000000000000010001000100000000001110011100000100011001000000010010011011100111110100010001001000100110010100001000111000000000000001001111110000000010001000010011001100100000111111111101111111011110111101011101000000000000000000000010000000000000000000110000000000000000000110000000000000000000110000100000000000000110000000000000000000000000000000000000000000000000000000000000
