,class,tax_order,family,genus,species
162111,Actinopterygii,Synbranchiformes,Synbranchidae,Synbranchus,marmoratus
162116,Actinopterygii,Semionotiformes,Lepisosteidae,Atractosteus,tropicus
162117,Actinopterygii,Cypriniformes,Cyprinidae,Probarbus,jullieni
162119,Actinopterygii,Cypriniformes,Cyprinidae,Barbodes,carnaticus
162141,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,sp.
162144,Actinopterygii,Gymnotiformes,Apteronotidae,Apteronotus,albifrons
162146,Actinopterygii,Perciformes,Sparidae,Evynnis,japonica
162147,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta,fusca
162157,Actinopterygii,Gymnotiformes,Gymnotidae,Gymnotus,carapo
162161,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,wingei
162164,Actinopterygii,Cypriniformes,Cyprinidae,Tinca,sp.
162165,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,chola
162168,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,venusta
162169,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,sp.
162171,Actinopterygii,Perciformes,Cichlidae,Parachromis,dovii
162173,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,schrenckii
162174,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,sumatrana
162178,Actinopterygii,Perciformes,Centropomidae,Centropomus,parallelus
162179,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,medirostris
162189,Actinopterygii,Siluriformes,Bagridae,Pelteobagrus,fulvidraco
162192,Actinopterygii,Cypriniformes,Cyprinidae,Megalobrama,amblycephala
162193,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,parrah
162199,Actinopterygii,Perciformes,Labridae,Thalassoma,pavo
162201,Actinopterygii,Perciformes,Percidae,Etheostoma,rufilineatum
162202,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,sp.
162215,Actinopterygii,Perciformes,Cichlidae,Oreochromis,spilurus
162218,Actinopterygii,Siluriformes,Tachysuridae,Tachysurus,fulvidraco
162220,Actinopterygii,Cypriniformes,Cyprinidae,Couesius,plumbeus
162223,Actinopterygii,Perciformes,Sparidae,Diplodus,cervinus
162227,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,latus
162228,Actinopterygii,Cypriniformes,Cyprinidae,Mylopharyngodon,piceus
162231,Actinopterygii,Cypriniformes,Cyprinidae,Plagiognathops,microlepis
162234,Actinopterygii,Cypriniformes,Cyprinidae,Chanodichthys,erythropterus
162237,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,niloticus
162239,Actinopterygii,Perciformes,Carangidae,Seriola,lalandi
162245,Actinopterygii,Cypriniformes,Cyprinidae,Puntigrus,tetrazona
162246,Actinopterygii,Characiformes,Characidae,Hemigrammus,erythrozonus
162247,Actinopterygii,Cypriniformes,Cyprinidae,Megarasbora,elanga
162249,Actinopterygii,Siluriformes,Clariidae,Heterobranchus,bidorsalis
162250,Actinopterygii,Cypriniformes,Cyprinidae,Mesopotamichthys,sharpeyi
162252,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,maculatus
162253,Actinopterygii,Siluriformes,Pimelodidae,Pseudoplatystoma,sp.
162258,Actinopterygii,Perciformes,Labridae,Coris,julis
162259,Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,ocellatus
162263,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,caurinus
162275,Actinopterygii,Gadiformes,Macrouridae,Trachyrincus,scabrus
162284,Actinopterygii,Gadiformes,Moridae,Mora,moro
162292,Actinopterygii,Ophidiiformes,Bythitidae,Cataetyx,laticeps
162300,Actinopterygii,Osmeriformes,Alepocephalidae,Alepocephalus,rostratus
162308,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,marianae
162309,Actinopterygii,Atheriniformes,Melanotaeniidae,Pseudomugil,tenellus
162310,Actinopterygii,Perciformes,Centropomidae,Ambassis,macleayi
162311,Actinopterygii,Cyprinodontiformes,Goodeidae,Chapalichthys,pardalis
162313,Actinopterygii,Cypriniformes,Cyprinidae,Nothobranchius,furzeri
162320,Actinopterygii,Cypriniformes,Cyprinidae,Spinibarbus,sinensis
162324,Actinopterygii,Perciformes,Labridae,Halichoeres,trimaculatus
162326,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,humensis
162328,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,marjoriae
162335,Actinopterygii,Perciformes,Teraponidae,Amniataba,percoides
162347,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,sinensis
162348,Actinopterygii,Characiformes,Characidae,Astyanax,lacustris
162349,Actinopterygii,Cyprinodontiformes,Rivulidae,Austrolebias,nigrofasciatus
162352,Actinopterygii,Cypriniformes,Cyprinidae,Blicca,bjoerkna
162354,Actinopterygii,Perciformes,Odontobutidae,Perccottus,glenii
162356,Actinopterygii,Mugiliformes,Mugilidae,Mugil,liza
162360,Actinopterygii,Perciformes,Sciaenidae,Atractoscion,nobilis
162364,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,guttatus
