,max_depth,train_acc,test_acc,train_rmse,test_rmse
0,5,0.6898698458242543,0.6699655370272584,0.7891510677372252,0.8138698500565527
1,7,0.7239936087773471,0.6859224296449871,0.7350960296273868,0.7786997263797338
2,10,0.791198693910086,0.7021569762832749,0.6357204966162827,0.747105045122845
3,12,0.8452129473382011,0.7141106873231244,0.5381855368575125,0.729750188237077
4,16,0.9446653137349905,0.7226729148479765,0.2966843961527606,0.7129620092607153
5,20,0.982889463005103,0.721060506385177,0.15679732733798502,0.7135688034557248
6,23,0.9894223305948369,0.7217831764256638,0.12386939958317796,0.7122226639571536
7,27,0.9915211860340369,0.7221168186755592,0.11309806836139151,0.7121261262384688
8,30,0.9919242794528834,0.7225616337992734,0.11092111883027744,0.7128195728768534
9,40,0.9920771769232719,0.7225060628159189,0.11022967578534841,0.7130027829781633
