,train_acc,test_acc,train_rmse,test_rmse,l1_ratio,fit_intercept,C
mod106,0.5915852118678756,0.5920714300395163,0.8624373750215082,0.8593606853911266,0.7,True,10.0
mod107,0.5914462158361518,0.5922937912407088,0.8626787792072124,0.8590348312322504,0.8,True,10.0
mod108,0.5915574138207891,0.592126985569316,0.8625439435389222,0.8598198458243413,0.9,True,10.0
mod109,0.5914462119719577,0.5920157972419423,0.8626427829106806,0.8592909467841862,1.0,True,10.0
mod110,0.6505059003057602,0.6475593041758752,0.8007145349840759,0.8031382515298283,0.0,False,100.0
mod111,0.6504920007991926,0.6475593041758752,0.80072282843606,0.8031382515298283,0.1,False,100.0
mod112,0.6504781012926252,0.6475593041758752,0.8008656591407174,0.8031382515298283,0.2,False,100.0
mod113,0.6504920007991926,0.6475593041758752,0.800749342299208,0.8031382515298283,0.3,False,100.0
mod114,0.6504781012926252,0.6476149060663394,0.8007316788368144,0.8031040199712706,0.4,False,100.0
mod115,0.6505197998123278,0.6476705079568037,0.8007064799646677,0.8030697811961932,0.5,False,100.0
mod116,0.6504920007991926,0.6476149060663394,0.800748903543534,0.8031040199712706,0.6,False,100.0
mod117,0.6504920007991926,0.6476149060663394,0.80072282843606,0.8031040199712706,0.7,False,100.0
mod118,0.6504642017860576,0.6476149060663394,0.8007666652736315,0.8031040199712706,0.8,False,100.0
mod119,0.6504781003265766,0.6476149060663394,0.800865925490589,0.8031040199712706,0.9,False,100.0
mod120,0.650464200820009,0.6476704925032488,0.8007663927036365,0.8030693069276873,1.0,False,100.0
mod121,0.5910848199709593,0.5915710284788928,0.8627845399600369,0.8598988950585479,0.0,True,100.0
mod122,0.5912516169479153,0.5917378341502856,0.862651864952074,0.8598073663601735,0.1,True,100.0
mod123,0.5910848305974935,0.5919045780074589,0.8629308819254502,0.8596912764118813,0.2,True,100.0
mod124,0.5913211135147043,0.591793420587195,0.8624654094456027,0.8594561508327242,0.3,True,100.0
mod125,0.5911543213679912,0.5916266149158022,0.8628418700969569,0.8594561508327242,0.4,True,100.0
mod126,0.5914323114993416,0.5920158281490521,0.8624473182489574,0.8593897309641318,0.5,True,100.0
mod127,0.5911821184490292,0.5916822168062664,0.862856524595158,0.8594249972986088,0.6,True,100.0
mod128,0.5911821194150777,0.5916822477133762,0.8628779153388566,0.859623408157919,0.7,True,100.0
mod129,0.591168224738753,0.5919045934610138,0.8629874741321922,0.8594876139846045,0.8,True,100.0
mod130,0.5910987214096242,0.5917934360407499,0.8630445240088299,0.8595570631946379,0.9,True,100.0
mod131,0.5914045182824978,0.591960195351478,0.8626822335057366,0.8593572658012043,1.0,True,100.0
