,acc_train,acc_test,rmse_train,rmse_test
k = 1,0.9973312576448349,0.6182844243792325,0.06238522208516863,0.8911402389679756
k = 5,0.7303458245301901,0.5951467268623025,0.7732460702487408,0.9259855344076817
k = 9,0.6713554987212276,0.5707674943566592,0.8608902319976587,0.9616811840595959
k = 13,0.6340487045479818,0.5572234762979684,0.9283517567824917,0.9935457628334207
k = 17,0.6126431669075948,0.5528216704288939,0.9531444679257508,1.000056431816303
k = 21,0.5945179584120983,0.5388261851015801,0.9832071599411295,1.0266758034635894
k = 31,0.5647726009118204,0.5238148984198645,1.0384308873891943,1.062281713070149
k = 41,0.5440898476592906,0.5129796839729119,1.0709564071106161,1.0847287996770245
k = 51,0.529800956299344,0.5010158013544018,1.0994423543290504,1.1166703165826495
