,class,tax_order,family,genus,gen_spec
16960,Actinopterygii,Osmeriformes,Osmeridae,Hypomesus,Hypomesus transpacificus
17067,Actinopterygii,Perciformes,Lateolabracidae,Lateolabrax,Lateolabrax japonicus
17098,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius bilinearis
17137,Actinopterygii,Perciformes,Percidae,Etheostoma,Etheostoma vitreum
17156,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria
17188,Actinopterygii,Cypriniformes,Cyprinidae,Culter,Culter alburnus
17218,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus longimanus
17220,Actinopterygii,Cypriniformes,Cyprinidae,Gila,Gila cypha
17609,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser persicus
17693,Actinopterygii,Gasterosteiformes,Syngnathidae,Hippocampus,Hippocampus sp.
17694,Actinopterygii,Gasterosteiformes,Syngnathidae,Hippocampus,Hippocampus abdominalis
17695,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,Alburnus tarichi
17720,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastiscus,Sebastiscus marmoratus
17922,Actinopterygii,Gymnotiformes,Sternopygidae,Sternopygus,Sternopygus sp.
17951,Actinopterygii,Perciformes,Blenniidae,Lipophrys,Lipophrys sp.
17952,Actinopterygii,Perciformes,Latridae,Latris,Latris lineata
17954,Actinopterygii,Perciformes,Latridae,Latris,Latris sp.
17957,Actinopterygii,Siluriformes,Siluridae,Silurus,Silurus meridionalis
17977,Actinopterygii,Gasterosteiformes,Syngnathidae,Syngnathus,Syngnathus abaster
18101,Actinopterygii,Perciformes,Labridae,Thalassoma,Thalassoma pavo
18107,Actinopterygii,Tetraodontiformes,Tetraodontidae,Takifugu,Takifugu obscurus
18133,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon erythrostigma
18134,Actinopterygii,Characiformes,Lebiasinidae,Nannostomus,Nannostomus unifasciatus
18135,Actinopterygii,Siluriformes,Loricariidae,Otocinclus,Otocinclus affinis
18179,Actinopterygii,Perciformes,Sparidae,Diplodus,Diplodus puntazzo
18186,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,Cichlasoma dimerus
18189,Actinopterygii,Perciformes,Cichlidae,Symphysodon,Symphysodon sp.
18211,Actinopterygii,Cyprinodontiformes,Poeciliidae,Phalloceros,Phalloceros caudimaculatus
18224,Actinopterygii,Perciformes,Gobiidae,Synechogobius,Synechogobius hasta
18230,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys verticalis
18245,Actinopterygii,Characiformes,Characidae,Brycon,Brycon amazonicus
18248,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastiscus,Sebastiscus sp.
18250,Actinopterygii,Perciformes,Lateolabracidae,Lateolabrax,Lateolabrax sp.
18453,Sarcopterygii,Lepidosireniformes,Protopteridae,Protopterus,Protopterus annectens
18582,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta,Capoeta capoeta
18664,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,Fundulus seminolis
18665,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,Cyprinella leedsi
18671,Actinopterygii,Perciformes,Blenniidae,Hypsoblennius,Hypsoblennius ionthas
18855,Actinopterygii,Perciformes,Lactariidae,Lactarius,Lactarius sp.
18994,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta,Capoeta fusca
19049,Actinopterygii,Perciformes,Sciaenidae,Micropogonias,Micropogonias furnieri
19057,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,Acanthopagrus latus
19140,Actinopterygii,Siluriformes,Bagridae,Sperata,Sperata sp.
19161,Actinopterygii,Siluriformes,Ariidae,Nemapteryx,Nemapteryx sp.
19179,Actinopterygii,Siluriformes,Clariidae,Clarias,Clarias gariepinus X macrocephalus
19183,Actinopterygii,Perciformes,Pomacentridae,Acanthochromis,Acanthochromis polyacanthus
19210,Actinopterygii,Perciformes,Pomacentridae,Acanthochromis,Acanthochromis sp.
19235,Actinopterygii,Cypriniformes,Balitoridae,Barbatula,Barbatula barbatula
19243,Actinopterygii,Perciformes,Centrarchidae,Chaenobryttus,Chaenobryttus sp.
19247,Actinopterygii,Perciformes,Chandidae,Pseudambassis,Pseudambassis sp.
19254,Actinopterygii,Cypriniformes,Cyprinidae,Squalius,Squalius sp.
19256,Actinopterygii,Cypriniformes,Balitoridae,Barbatula,Barbatula sp.
19334,Actinopterygii,Atheriniformes,Atherinopsidae,Chirostoma,Chirostoma jordani
19335,Actinopterygii,Atheriniformes,Atherinopsidae,Chirostoma,Chirostoma sp.
19336,Actinopterygii,Osteoglossiformes,Osteoglossidae,Arapaima,Arapaima gigas
19337,Actinopterygii,Osteoglossiformes,Osteoglossidae,Arapaima,Arapaima sp.
19346,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser medirostris
19492,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta,Capoeta sp.
19511,Actinopterygii,Siluriformes,Pangasiidae,Pangasius,Pangasius hypophthalmus
19528,Actinopterygii,Cyprinodontiformes,Poeciliidae,Phalloceros,Phalloceros sp.
19547,Actinopterygii,Siluriformes,Pangasiidae,Pangasius,Pangasius sp.
19691,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus grypus
19728,Actinopterygii,Semionotiformes,Lepisosteidae,Atractosteus,Atractosteus tropicus
19737,Actinopterygii,Synbranchiformes,Synbranchidae,Synbranchus,Synbranchus marmoratus
19814,Actinopterygii,Characiformes,Characidae,Piaractus,Piaractus brachypomus
19839,Actinopterygii,Cyprinodontiformes,Goodeidae,Goodea,Goodea atripinnis
19848,Actinopterygii,Cyprinodontiformes,Goodeidae,Goodea,Goodea sp.
19867,Sarcopterygii,Lepidosireniformes,Protopteridae,Protopterus,Protopterus sp.
19895,Actinopterygii,Semionotiformes,Lepisosteidae,Atractosteus,Atractosteus sp.
19914,Actinopterygii,Synbranchiformes,Synbranchidae,Synbranchus,Synbranchus sp.
19923,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Galaxias anomalus
19947,Actinopterygii,Perciformes,Gobiidae,Synechogobius,Synechogobius sp.
20092,Actinopterygii,Characiformes,Lebiasinidae,Nannostomus,Nannostomus sp.
20094,Actinopterygii,Perciformes,Carangidae,Seriola,Seriola dumerili
20134,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon eques
20184,Actinopterygii,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon sp.
20188,Actinopterygii,Perciformes,Cichlidae,Oreochromis,Oreochromis spilurus
20204,Actinopterygii,Perciformes,Blenniidae,Salaria,Salaria basilisca
20213,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus
20225,Actinopterygii,Perciformes,Blenniidae,Salaria,Salaria sp.
20291,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus rivulatus
20293,Actinopterygii,Clupeiformes,Engraulidae,Thryssa,Thryssa hamiltonii
20328,Actinopterygii,Cypriniformes,Cyprinidae,Squaliobarbus,Squaliobarbus curriculus
20336,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena,Scorpaena porcus
20337,Actinopterygii,Gadiformes,Gadidae,Gaidropsarus,Gaidropsarus mediterraneus
20338,Actinopterygii,Perciformes,Centracanthidae,Spicara,Spicara smaris
20339,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus mediterraneus
20352,Actinopterygii,Cypriniformes,Cyprinidae,Barbonymus,Barbonymus altus
20361,Actinopterygii,Perciformes,Sciaenidae,Johnius,Johnius carutta
20367,Actinopterygii,Osteoglossiformes,Mormyridae,Hyperopisus,Hyperopisus bebe
20371,Actinopterygii,Cypriniformes,Cyprinidae,Squaliobarbus,Squaliobarbus sp.
20389,Actinopterygii,Cypriniformes,Cyprinidae,Rastrineobola,Rastrineobola argentea
20393,Actinopterygii,Cypriniformes,Cyprinidae,Megarasbora,Megarasbora elanga
20424,Actinopterygii,Cypriniformes,Cyprinidae,Rastrineobola,Rastrineobola sp.
20446,Actinopterygii,Characiformes,Characidae,Brycon,Brycon opalinus
20450,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus synagris
20460,Actinopterygii,Characiformes,Characidae,Brycon,Brycon insignis
20480,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,Puntius chola
20527,Actinopterygii,Perciformes,Pomacentridae,Parma,Parma microlepis
20576,Actinopterygii,Perciformes,Cichlidae,Rocio,Rocio octofasciata
20579,Actinopterygii,Perciformes,Cichlidae,Rocio,Rocio sp.
20635,Actinopterygii,Characiformes,Erythrinidae,Hoplerythrinus,Hoplerythrinus unitaeniatus
20636,Actinopterygii,Characiformes,Erythrinidae,Hoplerythrinus,Hoplerythrinus sp.
20655,Actinopterygii,Perciformes,Gobiidae,Asterropteryx,Asterropteryx semipunctata
20662,Actinopterygii,Perciformes,Gobiidae,Asterropteryx,Asterropteryx sp.
20671,Actinopterygii,Siluriformes,Bagridae,Pelteobagrus,Pelteobagrus fulvidraco
20677,Actinopterygii,Siluriformes,Bagridae,Pelteobagrus,Pelteobagrus sp.
20697,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus erythropterus
20717,Actinopterygii,Perciformes,Sparidae,Evynnis,Evynnis japonica
20732,Actinopterygii,Siluriformes,Clariidae,Heterobranchus,Heterobranchus bidorsalis
20739,Actinopterygii,Cypriniformes,Cyprinidae,Probarbus,Probarbus jullieni
20740,Actinopterygii,Cypriniformes,Cyprinidae,Probarbus,Probarbus sp.
20847,Actinopterygii,Cypriniformes,Cyprinidae,Barbodes,Barbodes carnaticus
20849,Actinopterygii,Cypriniformes,Cyprinidae,Barbodes,Barbodes sp.
20900,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,Oryzias sinensis
20949,Actinopterygii,Perciformes,Carangidae,Seriola,Seriola lalandi
20950,Actinopterygii,Perciformes,Sciaenidae,Atractoscion,Atractoscion nobilis
20959,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser schrenckii
20994,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,Rasbora sumatrana
21003,Actinopterygii,Perciformes,Scatophagidae,Scatophagus,Scatophagus argus
21033,Actinopterygii,Perciformes,Scatophagidae,Scatophagus,Scatophagus sp.
21094,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,Puntius parrah
21138,Actinopterygii,Perciformes,Cichlidae,Australoheros,Australoheros sp.
21152,Actinopterygii,Perciformes,Centropomidae,Centropomus,Centropomus parallelus
21155,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,Cyprinella venusta
21194,Actinopterygii,Perciformes,Sparidae,Diplodus,Diplodus cervinus
21205,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,Sebastes hubbsi
21225,Actinopterygii,Gymnotiformes,Apteronotidae,Apteronotus,Apteronotus albifrons
21231,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus russellii
21240,Actinopterygii,Perciformes,Osphronemidae,Pseudosphromenus,Pseudosphromenus cupanus
21257,Actinopterygii,Tetraodontiformes,Tetraodontidae,Tetractenos,Tetractenos glaber
21284,Actinopterygii,Perciformes,Osphronemidae,Pseudosphromenus,Pseudosphromenus sp.
21286,Actinopterygii,Tetraodontiformes,Tetraodontidae,Tetractenos,Tetractenos sp.
21301,Actinopterygii,Perciformes,Sparidae,Evynnis,Evynnis sp.
21431,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia wingei
21464,Actinopterygii,Gymnotiformes,Gymnotidae,Gymnotus,Gymnotus carapo
21466,Actinopterygii,Gymnotiformes,Gymnotidae,Gymnotus,Gymnotus sp.
21469,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus leucas
21506,Actinopterygii,Clupeiformes,Clupeidae,Clupeonella,Clupeonella cultriventris
21508,Actinopterygii,Clupeiformes,Clupeidae,Clupeonella,Clupeonella sp.
21573,Actinopterygii,Perciformes,Cichlidae,Parachromis,Parachromis dovii
21584,Actinopterygii,Perciformes,Cichlidae,Parachromis,Parachromis sp.
21691,Actinopterygii,Osteoglossiformes,Mormyridae,Hyperopisus,Hyperopisus sp.
21859,Actinopterygii,Perciformes,Odontobutidae,Odontobutis,Odontobutis obscura
21860,Actinopterygii,Clupeiformes,Engraulidae,Coilia,Coilia nasus
21869,Actinopterygii,Clupeiformes,Engraulidae,Coilia,Coilia sp.
21871,Actinopterygii,Perciformes,Odontobutidae,Odontobutis,Odontobutis sp.
22173,Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,Misgurnus mizolepis
22205,Actinopterygii,Cypriniformes,Cyprinidae,Megalobrama,Megalobrama amblycephala
22206,Actinopterygii,Cypriniformes,Cyprinidae,Megalobrama,Megalobrama sp.
22378,Actinopterygii,Perciformes,Percidae,Etheostoma,Etheostoma rufilineatum
22385,Chondrichthyes,Rajiformes,Torpedinidae,Torpedo,Torpedo nobiliana
22399,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,Cichlasoma portalegrensis
22416,Actinopterygii,Perciformes,Eleotridae,Dormitator,Dormitator lebretonis
22431,Actinopterygii,Perciformes,Eleotridae,Batanga,Batanga sp.
22432,Actinopterygii,Perciformes,Eleotridae,Dormitator,Dormitator sp.
22446,Actinopterygii,Perciformes,Eleotridae,Oxyeleotris,Oxyeleotris marmorata
22447,Actinopterygii,Perciformes,Nandidae,Pristolepis,Pristolepis fasciata
22448,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,Rasbora elegans
22449,Actinopterygii,Cypriniformes,Cyprinidae,Cyclocheilichthys,Cyclocheilichthys apogon
22450,Actinopterygii,Cypriniformes,Cyprinidae,Hampala,Hampala macrolepidota
22451,Actinopterygii,Cypriniformes,Cyprinidae,Labiobarbus,Labiobarbus sp.
22452,Actinopterygii,Cypriniformes,Cyprinidae,Osteochilus,Osteochilus vittatus
22471,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia mariae
22489,Chondrichthyes,Carcharhiniformes,Triakidae,Triakis,Triakis semifasciata
22495,Actinopterygii,Siluriformes,Tachysuridae,Tachysurus,Tachysurus fulvidraco
22501,Actinopterygii,Cypriniformes,Cyprinidae,Chanodichthys,Chanodichthys sp.
22502,Actinopterygii,Cypriniformes,Cyprinidae,Chanodichthys,Chanodichthys erythropterus
22503,Actinopterygii,Cypriniformes,Cyprinidae,Mylopharyngodon,Mylopharyngodon sp.
22504,Actinopterygii,Cypriniformes,Cyprinidae,Mylopharyngodon,Mylopharyngodon piceus
22505,Actinopterygii,Cypriniformes,Cyprinidae,Plagiognathops,Plagiognathops sp.
22506,Actinopterygii,Cypriniformes,Cyprinidae,Plagiognathops,Plagiognathops microlepis
22508,Actinopterygii,Perciformes,Serranidae,Mycteroperca,Mycteroperca microlepis
22509,Actinopterygii,Perciformes,Serranidae,Mycteroperca,Mycteroperca sp.
22531,Actinopterygii,Pleuronectiformes,Pleuronectidae,Verasper,Verasper sp.
22532,Actinopterygii,Pleuronectiformes,Pleuronectidae,Verasper,Verasper variegatus
22534,Actinopterygii,Perciformes,Cheilodactylidae,Cheilodactylus,Cheilodactylus sp.
22535,Actinopterygii,Perciformes,Cheilodactylidae,Cheilodactylus,Cheilodactylus fuscus
22543,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,Barbus peloponnesius
22552,Actinopterygii,Perciformes,Pseudochromidae,Pseudochromis,Pseudochromis fridmani
22556,Actinopterygii,Perciformes,Pseudochromidae,Pseudochromis,Pseudochromis sp.
22564,Actinopterygii,Characiformes,Anostomidae,Leporinus,Leporinus macrocephalus
22665,Actinopterygii,Perciformes,Labridae,Coris,Coris julis
22667,Actinopterygii,Perciformes,Labridae,Coris,Coris sp.
22669,Actinopterygii,Perciformes,Scaridae,Sparisoma,Sparisoma viride
22703,Actinopterygii,Perciformes,Scaridae,Sparisoma,Sparisoma sp.
22729,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,Labeo niloticus
22730,Actinopterygii,Perciformes,Sciaenidae,Larimichthys,Larimichthys crocea
22735,Actinopterygii,Perciformes,Sciaenidae,Larimichthys,Larimichthys sp.
22803,Actinopterygii,Characiformes,Characidae,Hemigrammus,Hemigrammus erythrozonus
22804,Actinopterygii,Cypriniformes,Cyprinidae,Puntigrus,Puntigrus tetrazona
22817,Actinopterygii,Cypriniformes,Cyprinidae,Puntigrus,Puntigrus sp.
22880,Actinopterygii,Cypriniformes,Cyprinidae,Megarasbora,Megarasbora sp.
22991,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,Sprattus sp.
23024,Actinopterygii,Gadiformes,Moridae,Antimora,Antimora rostrata
23031,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,Aphanius sophiae
23041,Actinopterygii,Gadiformes,Moridae,Antimora,Antimora sp.
23048,Actinopterygii,Perciformes,Xiphiidae,Xiphias,Xiphias gladius
23050,Actinopterygii,Perciformes,Xiphiidae,Xiphias,Xiphias sp.
23051,Actinopterygii,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides bipunctatus
23052,Actinopterygii,Cypriniformes,Cyprinidae,Alburnoides,Alburnoides sp.
23089,Chondrichthyes,Lamniformes,Lamnidae,Isurus,Isurus oxyrinchus
23091,Chondrichthyes,Lamniformes,Lamnidae,Isurus,Isurus sp.
23094,Actinopterygii,Perciformes,Istiophoridae,Makaira,Makaira nigricans
23096,Actinopterygii,Perciformes,Istiophoridae,Makaira,Makaira sp.
23112,Actinopterygii,Perciformes,Haemulidae,Plectorhinchus,Plectorhinchus gibbosus
23113,Actinopterygii,Perciformes,Haemulidae,Plectorhinchus,Plectorhinchus sp.
23120,Actinopterygii,Gadiformes,Gadidae,Brosme,Brosme brosme
23122,Actinopterygii,Gadiformes,Gadidae,Brosme,Brosme sp.
23134,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,Labeobarbus sp.
23142,Actinopterygii,Cypriniformes,Cyprinidae,Hemiculter,Hemiculter leucisculus
23150,Actinopterygii,Mugiliformes,Mugilidae,Liza,Liza abu
23219,Actinopterygii,Cypriniformes,Cyprinidae,Mesopotamichthys,Mesopotamichthys sharpeyi
23220,Actinopterygii,Cypriniformes,Cyprinidae,Mesopotamichthys,Mesopotamichthys sp.
23349,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,Notropis maculatus
23394,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus obscurus
23395,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus sp.
23396,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca
23398,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Pseudopleuronectes herzensteini
23400,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Prionace,Prionace sp.
23402,Actinopterygii,Mugiliformes,Mugilidae,Liza,Liza klunzingeri
23459,Actinopterygii,Cypriniformes,Catostomidae,Chasmistes,Chasmistes liorus
23586,Actinopterygii,Perciformes,Siganidae,Siganus,Siganus oramin
23611,Actinopterygii,Perciformes,Serranidae,Epinephelus,Epinephelus marginatus
23854,Actinopterygii,Gadiformes,Gadidae,Boreogadus,Boreogadus saida
23996,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,Odontesthes hatcheri
24001,Actinopterygii,Clupeiformes,Engraulidae,Cetengraulis,Cetengraulis mysticetus
24002,Actinopterygii,Clupeiformes,Engraulidae,Cetengraulis,Cetengraulis sp.
24044,Actinopterygii,Gadiformes,Gadidae,Boreogadus,Boreogadus sp.
24049,Actinopterygii,Perciformes,Gobiidae,Proterorhinus,Proterorhinus semilunaris
24275,Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,Rhodeus ocellatus
24292,Actinopterygii,Perciformes,Pomacentridae,Parma,Parma sp.
24449,Actinopterygii,Perciformes,Cirrhitidae,Cirrhitus,Cirrhitus sp.
24473,Actinopterygii,Osmeriformes,Salangidae,Protosalanx,Protosalanx hyalocranius
24475,Actinopterygii,Osmeriformes,Salangidae,Protosalanx,Protosalanx sp.
24706,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,Sebastes caurinus
24892,Actinopterygii,Gadiformes,Macrouridae,Trachyrincus,Trachyrincus scabrus
24893,Actinopterygii,Gadiformes,Moridae,Mora,Mora moro
24894,Actinopterygii,Ophidiiformes,Bythitidae,Cataetyx,Cataetyx laticeps
24895,Actinopterygii,Osmeriformes,Alepocephalidae,Alepocephalus,Alepocephalus rostratus
24897,Actinopterygii,Gadiformes,Macrouridae,Trachyrincus,Trachyrincus sp.
24898,Actinopterygii,Gadiformes,Moridae,Mora,Mora sp.
24900,Actinopterygii,Ophidiiformes,Bythitidae,Cataetyx,Cataetyx sp.
24902,Actinopterygii,Osmeriformes,Alepocephalidae,Alepocephalus,Alepocephalus sp.
24995,Chondrichthyes,Rajiformes,Torpedinidae,Torpedo,Torpedo fuscomaculata
25011,Actinopterygii,Perciformes,Gobiidae,Mugilogobius,Mugilogobius abei
25012,Actinopterygii,Perciformes,Gobiidae,Mugilogobius,Mugilogobius sp.
25031,Actinopterygii,Scorpaeniformes,Scorpaenidae,Centropogon,Centropogon australis
25032,Actinopterygii,Perciformes,Centropomidae,Ambassis,Ambassis marianus
25033,Actinopterygii,Scorpaeniformes,Scorpaenidae,Centropogon,Centropogon sp.
25052,Actinopterygii,Perciformes,Embiotocidae,Ditrema,Ditrema temminckii
25054,Actinopterygii,Perciformes,Embiotocidae,Ditrema,Ditrema sp.
25078,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,Mustelus manazo
25079,Chondrichthyes,Rajiformes,Dasyatidae,Himantura,Himantura uarnak
25080,Chondrichthyes,Rajiformes,Dasyatidae,Dasyatis,Dasyatis pastinaca
25082,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,Mustelus sp.
25083,Chondrichthyes,Rajiformes,Dasyatidae,Himantura,Himantura sp.
25091,Chondrichthyes,Rajiformes,Torpedinidae,Torpedo,Torpedo californica
25098,Actinopterygii,Cyprinodontiformes,Rivulidae,Austrolebias,Austrolebias nigrofasciatus
25100,Actinopterygii,Cyprinodontiformes,Rivulidae,Austrolebias,Austrolebias sp.
25147,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,Craterocephalus marianae
25148,Actinopterygii,Atheriniformes,Melanotaeniidae,Pseudomugil,Pseudomugil tenellus
25149,Actinopterygii,Perciformes,Centropomidae,Ambassis,Ambassis macleayi
25180,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,Craterocephalus marjoriae
25196,Actinopterygii,Perciformes,Labridae,Thalassoma,Thalassoma lunare
25203,Actinopterygii,Cypriniformes,Cyprinidae,Spinibarbus,Spinibarbus sinensis
25204,Actinopterygii,Cypriniformes,Cyprinidae,Spinibarbus,Spinibarbus sp.
25221,Actinopterygii,Perciformes,Labridae,Labroides,Labroides dimidiatus
25225,Actinopterygii,Perciformes,Labridae,Labroides,Labroides sp.
25229,Actinopterygii,Perciformes,Zoarcidae,Pachycara,Pachycara brachycephalum
25234,Actinopterygii,Perciformes,Zoarcidae,Pachycara,Pachycara sp.
25240,Actinopterygii,Cypriniformes,Cyprinidae,Nothobranchius,Nothobranchius furzeri
25241,Actinopterygii,Cyprinodontiformes,Goodeidae,Chapalichthys,Chapalichthys pardalis
25242,Actinopterygii,Cyprinodontiformes,Goodeidae,Chapalichthys,Chapalichthys sp.
25350,Actinopterygii,Perciformes,Teraponidae,Amniataba,Amniataba percoides
25351,Actinopterygii,Perciformes,Teraponidae,Amniataba,Amniataba sp.
25357,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus triostegus
25359,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus sp.
25367,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma sp.
25407,Actinopterygii,Perciformes,Labridae,Halichoeres,Halichoeres trimaculatus
25547,Actinopterygii,Cypriniformes,Cyprinidae,Hemiculter,Hemiculter sp.
25548,Actinopterygii,Perciformes,Cichlidae,Symphysodon,Symphysodon aequifasciatus
25549,Actinopterygii,Cypriniformes,Cyprinidae,Culter,Culter sp.
25551,Actinopterygii,Salmoniformes,Salmonidae,Brachymystax,Brachymystax lenok
25562,Actinopterygii,Salmoniformes,Salmonidae,Brachymystax,Brachymystax sp.
25971,Actinopterygii,Perciformes,Stromateidae,Pampus,Pampus argenteus
26002,Actinopterygii,Perciformes,Stromateidae,Pampus,Pampus sp.
26032,Actinopterygii,Scorpaeniformes,Cottidae,Leptocottus,Leptocottus sp.
26033,Actinopterygii,Scorpaeniformes,Cottidae,Leptocottus,Leptocottus armatus
26046,Actinopterygii,Mugiliformes,Mugilidae,Mugil,Mugil liza
26051,Actinopterygii,Perciformes,Gerreidae,Diapterus,Diapterus auratus
26052,Actinopterygii,Perciformes,Gerreidae,Diapterus,Diapterus rhombeus
26054,Actinopterygii,Cyprinodontiformes,Poeciliidae,Phalloceros,Phalloceros harpagos
26055,Actinopterygii,Siluriformes,Loricariidae,Pterygoplichthys,Pterygoplichthys pardalis
26056,Actinopterygii,Characiformes,Characidae,Astyanax,Astyanax altiparanae
26057,Actinopterygii,Siluriformes,Ariidae,Genidens,Genidens genidens
26058,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys spilopterus
26090,Actinopterygii,Tetraodontiformes,Tetraodontidae,Sphoeroides,Sphoeroides annulatus
26149,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,Odontesthes humensis
26160,Actinopterygii,Perciformes,Sciaenidae,Atractoscion,Atractoscion sp.
26198,Actinopterygii,Perciformes,Gerreidae,Diapterus,Diapterus sp.
26200,Actinopterygii,Siluriformes,Loricariidae,Pterygoplichthys,Pterygoplichthys sp.
26201,Actinopterygii,Siluriformes,Ariidae,Genidens,Genidens sp.
26313,Chondrichthyes,Rhinobatiformes,Platyrhinidae,Platyrhinoidis,Platyrhinoidis triseriata
26329,Chondrichthyes,Rhinobatiformes,Platyrhinidae,Platyrhinoidis,Platyrhinoidis sp.
26330,Chondrichthyes,Carcharhiniformes,Triakidae,Triakis,Triakis sp.
26394,Actinopterygii,Cypriniformes,Cyprinidae,Osteochilus,Osteochilus hasseltii
26401,Actinopterygii,Characiformes,Characidae,Astyanax,Astyanax lacustris
26402,Actinopterygii,Cypriniformes,Cyprinidae,Blicca,Blicca bjoerkna
26403,Actinopterygii,Perciformes,Odontobutidae,Perccottus,Perccottus glenii
26409,Actinopterygii,Perciformes,Odontobutidae,Perccottus,Perccottus sp.
26410,Actinopterygii,Cypriniformes,Cyprinidae,Blicca,Blicca sp.
26505,Actinopterygii,Cypriniformes,Cyprinidae,Osteochilus,Osteochilus sp.
26527,Actinopterygii,Clupeiformes,Engraulidae,Thryssa,Thryssa sp.
26664,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos otakii
26779,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Galeocerdo,Galeocerdo cuvier
26788,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Galeocerdo,Galeocerdo sp.
26802,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus guttatus
26808,Actinopterygii,Cypriniformes,Cyprinidae,Chanodichthys,Chanodichthys dabryi
26885,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus johnii
26887,Actinopterygii,Perciformes,Centrarchidae,Elassoma,Elassoma gilberti
26907,Actinopterygii,Perciformes,Glaucosomatidae,Glaucosoma,Glaucosoma hebraicum
