,class,tax_order,family,genus,gen_spec
14632,Actinopterygii,Atheriniformes,Atherinidae,Atherina,Atherina sp.
14635,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis sp.
14643,Actinopterygii,Perciformes,Kuhliidae,Kuhlia,Kuhlia sp.
14647,Actinopterygii,Semionotiformes,Lepisosteidae,Lepisosteus,Lepisosteus sp.
14659,Actinopterygii,Perciformes,Centrarchidae,Acantharchus,Acantharchus sp.
14662,Actinopterygii,Cypriniformes,Cyprinidae,Tinca,Tinca sp.
14666,Actinopterygii,Siluriformes,Bagridae,Chrysichthys,Chrysichthys sp.
14675,Actinopterygii,Perciformes,Cichlidae,Astronotus,Astronotus sp.
14680,Actinopterygii,Cypriniformes,Cyprinidae,Cirrhinus,Cirrhinus sp.
14684,Actinopterygii,Gymnotiformes,Electrophoridae,Electrophorus,Electrophorus sp.
14685,Actinopterygii,Atheriniformes,Atherinidae,Atherinops,Atherinops sp.
14693,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,Pimephales sp.
14702,Actinopterygii,Perciformes,Gerreidae,Gerres,Gerres sp.
14703,Actinopterygii,Salmoniformes,Salmonidae,Stenodus,Stenodus sp.
14713,Actinopterygii,Perciformes,Teraponidae,Hephaestus,Hephaestus sp.
14719,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras sp.
14730,Actinopterygii,Pleuronectiformes,Soleidae,Solea,Solea sp.
14734,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,Nocomis sp.
14737,Actinopterygii,Cypriniformes,Cyprinidae,Chela,Chela sp.
14741,Actinopterygii,Perciformes,Haemulidae,Orthopristis,Orthopristis sp.
14756,Actinopterygii,Perciformes,Sparidae,Lagodon,Lagodon sp.
14758,Actinopterygii,Myctophiformes,Myctophidae,Diaphus,Diaphus sp.
14759,Actinopterygii,Siluriformes,Ariidae,Megalops,Megalops sp.
14775,Actinopterygii,Perciformes,Cichlidae,Dicrossus,Dicrossus sp.
14787,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,Taurulus sp.
14792,Actinopterygii,Cypriniformes,Cyprinidae,Gnathopogon,Gnathopogon sp.
14798,Actinopterygii,Cyprinodontiformes,Aplocheilidae,Rivulus,Rivulus sp.
14814,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Galaxias sp.
14822,Actinopterygii,Siluriformes,Bagridae,Mystus,Mystus sp.
14827,Actinopterygii,Perciformes,Embiotocidae,Micrometrus,Micrometrus sp.
14840,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,Alburnus sp.
14845,Actinopterygii,Perciformes,Gobiidae,Clevelandia,Clevelandia sp.
14856,Actinopterygii,Perciformes,Sciaenidae,Argyrosomus,Argyrosomus sp.
14861,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,Labeo sp.
