,class,tax_order,family,genus,species,gen_spec
560,Actinopterygii,Cypriniformes,Cyprinidae,Mesopotamichthys,sharpeyi,Mesopotamichthys sharpeyi
561,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sphenops,Poecilia sphenops
562,Actinopterygii,Perciformes,Carangidae,Trachurus,japonicus,Trachurus japonicus
563,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,leucostictus,Pomacentrus leucostictus
564,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,sp.,Fundulus sp.
565,Actinopterygii,Cypriniformes,Cyprinidae,Acrocheilus,alutaceus,Acrocheilus alutaceus
566,Actinopterygii,Perciformes,Sparidae,Diplodus,cervinus,Diplodus cervinus
567,Actinopterygii,Perciformes,Cichlidae,Herotilapia,multispinosa,Herotilapia multispinosa
568,Chondrichthyes,Rajiformes,Rajidae,Raja,eglanteria,Raja eglanteria
569,Actinopterygii,Perciformes,Percichthyidae,Macquaria,novemaculeata,Macquaria novemaculeata
570,Actinopterygii,Cyprinodontiformes,Goodeidae,Chapalichthys,pardalis,Chapalichthys pardalis
571,Actinopterygii,Perciformes,Oplegnathidae,Oplegnathus,fasciatus,Oplegnathus fasciatus
572,Chondrichthyes,Squaliformes,Squalidae,Squalus,acanthias,Squalus acanthias
573,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,bifasciatus,Hyphessobrycon bifasciatus
574,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,sp.,Barbus sp.
575,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,patronus,Brevoortia patronus
576,Actinopterygii,Siluriformes,Clariidae,Heterobranchus,bidorsalis,Heterobranchus bidorsalis
577,Actinopterygii,Semionotiformes,Lepisosteidae,Lepisosteus,platostomus,Lepisosteus platostomus
578,Actinopterygii,Perciformes,Gobiidae,Periophthalmodon,schlosseri,Periophthalmodon schlosseri
579,Actinopterygii,Siluriformes,Bagridae,Mystus,gulio,Mystus gulio
