,class,tax_order,family,genus,species,gen_spec
203,Actinopterygii,Cypriniformes,Catostomidae,Deltistes,luxatus,Deltistes luxatus
204,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,cataractae,Rhinichthys cataractae
205,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,Acipenser transmontanus
206,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,cyanea,Chrysiptera cyanea
207,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,hudsonius,Notropis hudsonius
208,Actinopterygii,Perciformes,Embiotocidae,Micrometrus,minimus,Micrometrus minimus
209,Actinopterygii,Cypriniformes,Cyprinidae,Barbodes,carnaticus,Barbodes carnaticus
210,Actinopterygii,Batrachoidiformes,Batrachoididae,Opsanus,beta,Opsanus beta
211,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,javanicus,Barbus javanicus
212,Actinopterygii,Perciformes,Percidae,Gymnocephalus,cernuus,Gymnocephalus cernuus
213,Actinopterygii,Perciformes,Sparidae,Stenotomus,chrysops,Stenotomus chrysops
214,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,diaphanus,Fundulus diaphanus
215,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,bairdi,Cottus bairdi
216,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,fluviatilis,Melanotaenia fluviatilis
217,Actinopterygii,Cypriniformes,Cyprinidae,Phoxinus,phoxinus,Phoxinus phoxinus
218,Actinopterygii,Perciformes,Gobiidae,Pomatoschistus,microps,Pomatoschistus microps
219,Actinopterygii,Cypriniformes,Cyprinidae,Phoxinus,eos,Phoxinus eos
220,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,schlegelii,Acanthopagrus schlegelii
221,Actinopterygii,Cypriniformes,Catostomidae,Chasmistes,brevirostris,Chasmistes brevirostris
222,Actinopterygii,Perciformes,Sparidae,Lagodon,rhomboides,Lagodon rhomboides
223,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,holbrooki,Gambusia holbrooki
224,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,peled,Coregonus peled
225,Actinopterygii,Perciformes,Percidae,Etheostoma,nigrum,Etheostoma nigrum
226,Actinopterygii,Atheriniformes,Atherinidae,Menidia,peninsulae,Menidia peninsulae
227,Actinopterygii,Perciformes,Cichlidae,Tilapia,hornorum,Tilapia hornorum
228,Actinopterygii,Mugiliformes,Mugilidae,Chelon,labrosus,Chelon labrosus
229,Actinopterygii,Pleuronectiformes,Soleidae,Solea,solea,Solea solea
230,Actinopterygii,Cypriniformes,Cyprinidae,Barilius,bendelisis,Barilius bendelisis
231,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poeciliopsis,occidentalis,Poeciliopsis occidentalis
232,Actinopterygii,Mugiliformes,Mugilidae,Mugil,curema,Mugil curema
233,Actinopterygii,Characiformes,Characidae,Paracheirodon,axelrodi,Paracheirodon axelrodi
234,Actinopterygii,Cyprinodontiformes,Poeciliidae,Cnesterodon,decemmaculatus,Cnesterodon decemmaculatus
235,Actinopterygii,Perciformes,Gobiidae,Boleophthalmus,boddarti,Boleophthalmus boddarti
236,Actinopterygii,Perciformes,Gobiidae,Gobio,gobio,Gobio gobio
237,Actinopterygii,Perciformes,Gobiidae,Odontamblyopus,rubicundus,Odontamblyopus rubicundus
238,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,neilgherriensis,Rasbora neilgherriensis
239,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,nebulosus,Ameiurus nebulosus
240,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,herbertaxelrodi,Hyphessobrycon herbertaxelrodi
241,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,platessa,Pleuronectes platessa
242,Actinopterygii,Perciformes,Gobiidae,Synechogobius,hasta,Synechogobius hasta
243,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,osculus,Rhinichthys osculus
244,Actinopterygii,Perciformes,Percidae,Etheostoma,lepidum,Etheostoma lepidum
245,Actinopterygii,Cypriniformes,Cobitidae,Lepidocephalichthys,guntea,Lepidocephalichthys guntea
246,Actinopterygii,Perciformes,Centrarchidae,Enneacanthus,gloriosus,Enneacanthus gloriosus
247,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,labrax,Dicentrarchus labrax
248,Actinopterygii,Perciformes,Ambassidae,Priopidichthys,sp.,Priopidichthys sp.
249,Actinopterygii,Perciformes,Anabantidae,Macropodus,opercularis,Macropodus opercularis
250,Actinopterygii,Perciformes,Percidae,Etheostoma,fonticola,Etheostoma fonticola
251,Actinopterygii,Siluriformes,Siluridae,Wallago,attu,Wallago attu
252,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,latipinnis,Catostomus latipinnis
253,Actinopterygii,Cypriniformes,Cyprinidae,Semotilus,atromaculatus,Semotilus atromaculatus
254,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,dentatus,Paralichthys dentatus
255,Actinopterygii,Perciformes,Carangidae,Seriola,quinqueradiata,Seriola quinqueradiata
256,Actinopterygii,Siluriformes,Bagridae,Chrysichthys,nigrodigitatus,Chrysichthys nigrodigitatus
257,Actinopterygii,Perciformes,Gobiidae,Zosterisessor,ophiocephalus,Zosterisessor ophiocephalus
258,Actinopterygii,Perciformes,Cichlidae,Tilapia,sp.,Tilapia sp.
259,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,mexicana,Poecilia mexicana
260,Actinopterygii,Perciformes,Channidae,Channa,marulius,Channa marulius
261,Actinopterygii,Perciformes,Eleotridae,Mogurnda,mogurnda,Mogurnda mogurnda
262,Actinopterygii,Cypriniformes,Cyprinidae,Tinca,tinca,Tinca tinca
263,Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,anguillicaudatus,Misgurnus anguillicaudatus
264,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,sinensis,Acipenser sinensis
265,Actinopterygii,Siluriformes,Clariidae,Clarias,lazera,Clarias lazera
266,Actinopterygii,Characiformes,Characidae,Piaractus,mesopotamicus,Piaractus mesopotamicus
267,Actinopterygii,Perciformes,Sparidae,Pachymetopon,blochii,Pachymetopon blochii
268,Actinopterygii,Gadiformes,Gadidae,Theragra,chalcogramma,Theragra chalcogramma
269,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,persicus,Acipenser persicus
270,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,maculatus,Galaxias maculatus
271,Actinopterygii,Perciformes,Gobiidae,Boleophthalmus,sp.,Boleophthalmus sp.
272,Actinopterygii,Pleuronectiformes,Soleidae,Heteromycteris,capensis,Heteromycteris capensis
273,Actinopterygii,Atheriniformes,Atherinidae,Atherinosoma,microstoma,Atherinosoma microstoma
274,Actinopterygii,Perciformes,Osphronemidae,Pseudosphromenus,cupanus,Pseudosphromenus cupanus
275,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,platyrhynchus,Catostomus platyrhynchus
276,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,regia,Odontesthes regia
277,Actinopterygii,Perciformes,Centropomidae,Ambassis,gymnocephalus,Ambassis gymnocephalus
278,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,baerii,Acipenser baerii
279,Actinopterygii,Perciformes,Centropomidae,Ambassis,ambassis,Ambassis ambassis
280,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,aeglefinus,Melanogrammus aeglefinus
281,Actinopterygii,Characiformes,Curimatidae,Prochilodus,lineatus,Prochilodus lineatus
282,Actinopterygii,Perciformes,Gobiidae,Neogobius,melanostomus,Neogobius melanostomus
283,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,orbignyanus,Paralichthys orbignyanus
284,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,clarkii,Amphiprion clarkii
285,Actinopterygii,Cypriniformes,Cyprinidae,Megarasbora,elanga,Megarasbora elanga
286,Actinopterygii,Perciformes,Sciaenidae,Micropogonias,undulatus,Micropogonias undulatus
287,Actinopterygii,Perciformes,Percidae,Leiopotherapon,unicolor,Leiopotherapon unicolor
288,Actinopterygii,Perciformes,Channidae,Channa,striata,Channa striata
289,Actinopterygii,Esociformes,Umbridae,Umbra,pygmaea,Umbra pygmaea
290,Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,fossilis,Misgurnus fossilis
291,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,tridentata,Lampetra tridentata
292,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,fimbriatus,Labeo fimbriatus
293,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pallasii,Clupea pallasii
294,Actinopterygii,Cyprinodontiformes,Anablepidae,Jenynsia,multidentata,Jenynsia multidentata
295,Actinopterygii,Perciformes,Mullidae,Parupeneus,barberinus,Parupeneus barberinus
296,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,mekistocholas,Notropis mekistocholas
297,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,grypus,Barbus grypus
298,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,sp.,Poecilia sp.
299,Actinopterygii,Perciformes,Serranidae,Serranus,scriba,Serranus scriba
300,Actinopterygii,Perciformes,Percidae,Etheostoma,caeruleum,Etheostoma caeruleum
301,Actinopterygii,Cyprinodontiformes,Poeciliidae,Xiphophorus,maculatus,Xiphophorus maculatus
302,Actinopterygii,Osteoglossiformes,Mormyridae,Pollimyrus,isidori,Pollimyrus isidori
303,Actinopterygii,Perciformes,Gobiidae,Tridentiger,trigonocephalus,Tridentiger trigonocephalus
304,Actinopterygii,Cypriniformes,Cyprinidae,Acrossocheilus,paradoxus,Acrossocheilus paradoxus
305,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,majalis,Fundulus majalis
306,Actinopterygii,Perciformes,Cichlidae,Pseudocrenilabrus,philander,Pseudocrenilabrus philander
307,Actinopterygii,Perciformes,Centrarchidae,Lepomis,sp.,Lepomis sp.
308,Actinopterygii,Perciformes,Sparidae,Sparus,sp.,Sparus sp.
309,Actinopterygii,Mugiliformes,Mugilidae,Mugil,saliens,Mugil saliens
310,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,williamsoni,Prosopium williamsoni
311,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,dearborni,Cyprinodon dearborni
312,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,dorsalis,Barbus dorsalis
313,Actinopterygii,Perciformes,Cichlidae,Etroplus,maculatus,Etroplus maculatus
314,Actinopterygii,Perciformes,Sparidae,Chrysophrys,major,Chrysophrys major
315,Actinopterygii,Siluriformes,Ictaluridae,Pylodictis,olivaris,Pylodictis olivaris
316,Actinopterygii,Mugiliformes,Mugilidae,Aldrichetta,forsteri,Aldrichetta forsteri
317,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,Clupea harengus
318,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,aguabonita,Oncorhynchus aguabonita
319,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,lutrensis,Cyprinella lutrensis
320,Actinopterygii,Perciformes,Siganidae,Siganus,fuscescens,Siganus fuscescens
321,Actinopterygii,Osteoglossiformes,Osteoglossidae,Arapaima,gigas,Arapaima gigas
322,Actinopterygii,Osmeriformes,Osmeridae,Osmerus,mordax,Osmerus mordax
323,Actinopterygii,Siluriformes,Mochokidae,Synodontis,sp.,Synodontis sp.
324,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,stigmaeus,Citharichthys stigmaeus
325,Actinopterygii,Mugiliformes,Mugilidae,Mugil,liza,Mugil liza
326,Actinopterygii,Perciformes,Pomacentridae,Chromis,viridis,Chromis viridis
327,Actinopterygii,Cypriniformes,Cyprinidae,Chanodichthys,erythropterus,Chanodichthys erythropterus
328,Actinopterygii,Salmoniformes,Plecoglossidae,Plecoglossus,altivelis,Plecoglossus altivelis
329,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,muksun,Coregonus muksun
330,Actinopterygii,Perciformes,Teraponidae,Bidyanus,bidyanus,Bidyanus bidyanus
331,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,trilineata,Rasbora trilineata
332,Actinopterygii,Characiformes,Characidae,Gymnocorymbus,ternetzi,Gymnocorymbus ternetzi
333,Actinopterygii,Osmeriformes,Osmeridae,Hypomesus,transpacificus,Hypomesus transpacificus
334,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,albus,Monopterus albus
335,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aplocheilus,lineatus,Aplocheilus lineatus
336,Actinopterygii,Cypriniformes,Balitoridae,Nemacheilus,botia,Nemacheilus botia
337,Actinopterygii,Mugiliformes,Mugilidae,Liza,vaigiensis,Liza vaigiensis
338,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,alpinus,Salvelinus alpinus
339,Actinopterygii,Cypriniformes,Cyprinidae,Candidia,barbatus,Candidia barbatus
340,Actinopterygii,Perciformes,Moronidae,Morone,sp.,Morone sp.
341,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,yucatana,Gambusia yucatana
342,Actinopterygii,Perciformes,Gobiidae,Gillichthys,mirabilis,Gillichthys mirabilis
343,Actinopterygii,Gadiformes,Gadidae,Gaidropsarus,capensis,Gaidropsarus capensis
344,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,sp.,Ictalurus sp.
345,Actinopterygii,Perciformes,Sparidae,Archosargus,probatocephalus,Archosargus probatocephalus
346,Actinopterygii,Perciformes,Stromateidae,Peprilus,triacanthus,Peprilus triacanthus
347,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,eques,Hyphessobrycon eques
348,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,sp.,Lampetra sp.
349,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,appendix,Lampetra appendix
350,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,macularius,Cyprinodon macularius
351,Actinopterygii,Characiformes,Characidae,Colossoma,macropomum,Colossoma macropomum
352,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,dispar,Aphanius dispar
353,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,sp.,Gambusia sp.
354,Actinopterygii,Siluriformes,Bagridae,Mystus,cavasius,Mystus cavasius
355,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,sp.,Notropis sp.
356,Actinopterygii,Cypriniformes,Cyprinidae,Rhodeus,sericeus,Rhodeus sericeus
357,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,stellatus,Platichthys stellatus
358,Actinopterygii,Cypriniformes,Cyprinidae,Danio,malabaricus,Danio malabaricus
359,Actinopterygii,Cypriniformes,Cyprinidae,Richardsonius,balteatus,Richardsonius balteatus
360,Actinopterygii,Clupeiformes,Clupeidae,Dorosoma,cepedianum,Dorosoma cepedianum
361,Actinopterygii,Cypriniformes,Balitoridae,Nemacheilus,angorae,Nemacheilus angorae
362,Actinopterygii,Mugiliformes,Mugilidae,Mugil,auratus,Mugil auratus
363,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,stramineus,Notropis stramineus
364,Actinopterygii,Cypriniformes,Cyprinidae,Puntigrus,tetrazona,Puntigrus tetrazona
365,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,tyrannus,Brevoortia tyrannus
366,Actinopterygii,Cypriniformes,Cyprinidae,Vimba,vimba,Vimba vimba
367,Actinopterygii,Perciformes,Cichlidae,Tilapia,guineensis,Tilapia guineensis
368,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,argentimaculatus,Lutjanus argentimaculatus
369,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,hoyi,Coregonus hoyi
370,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,ferrugineus,Pleuronectes ferrugineus
371,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,erythrostigma,Hyphessobrycon erythrostigma
372,Actinopterygii,Amiiformes,Amiidae,Amia,calva,Amia calva
373,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,australis,Anguilla australis
374,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,stigma,Barbus stigma
375,Actinopterygii,Perciformes,Sparidae,Sparus,macrocephalus,Sparus macrocephalus
376,Actinopterygii,Perciformes,Cichlidae,Tilapia,spilurus,Tilapia spilurus
377,Actinopterygii,Perciformes,Teraponidae,Amniataba,percoides,Amniataba percoides
378,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,vetulus,Parophrys vetulus
379,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,filamentosus,Barbus filamentosus
380,Actinopterygii,Tetraodontiformes,Tetraodontidae,Monacanthus,hispidus,Monacanthus hispidus
381,Actinopterygii,Perciformes,Cichlidae,Parachromis,dovii,Parachromis dovii
382,Actinopterygii,Perciformes,Cichlidae,Tilapia,galilaea,Tilapia galilaea
383,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,atratulus,Rhinichthys atratulus
384,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,fulvescens,Acipenser fulvescens
385,Actinopterygii,Atheriniformes,Melanotaeniidae,Pseudomugil,tenellus,Pseudomugil tenellus
386,Actinopterygii,Cypriniformes,Cyprinidae,Danio,sp.,Danio sp.
387,Actinopterygii,Cypriniformes,Cyprinidae,Gila,cypha,Gila cypha
388,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,auratus,Galaxias auratus
389,Actinopterygii,Pleuronectiformes,Soleidae,Synaptura,kleini,Synaptura kleini
390,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Petromyzon,sp.,Petromyzon sp.
391,Actinopterygii,Siluriformes,Pimelodidae,Plecostomus,commersoni,Plecostomus commersoni
392,Actinopterygii,Perciformes,Centrarchidae,Micropterus,treculii,Micropterus treculii
393,Actinopterygii,Perciformes,Nandidae,Nandus,nandus,Nandus nandus
394,Actinopterygii,Perciformes,Anabantidae,Anabas,scandens,Anabas scandens
395,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,gibelio,Carassius gibelio
396,Actinopterygii,Clupeiformes,Clupeidae,Alosa,aestivalis,Alosa aestivalis
397,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,melanistius,Corydoras melanistius
398,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,Anguilla dieffenbachii
399,Actinopterygii,Perciformes,Percidae,Sander,canadensis,Sander canadensis
400,Actinopterygii,Clupeiformes,Clupeidae,Alosa,pseudoharengus,Alosa pseudoharengus
401,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,bonariensis,Odontesthes bonariensis
402,Actinopterygii,Mugiliformes,Mugilidae,Mugil,carinatus,Mugil carinatus
403,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,natalensis,Barbus natalensis
404,Actinopterygii,Siluriformes,Bagridae,Hemibagrus,nemurus,Hemibagrus nemurus
405,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena,hippurus,Coryphaena hippurus
406,Actinopterygii,Siluriformes,Bagridae,Rita,rita,Rita rita
407,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,cuchia,Monopterus cuchia
408,Actinopterygii,Perciformes,Gobiidae,Periophthalmus,waltoni,Periophthalmus waltoni
409,Actinopterygii,Pleuronectiformes,Soleidae,Solea,senegalensis,Solea senegalensis
410,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,urophthalmus,Cichlasoma urophthalmus
411,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,anogenus,Notropis anogenus
412,Actinopterygii,Perciformes,Sciaenidae,Nibea,albiflora,Nibea albiflora
413,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,butcheri,Acanthopagrus butcheri
414,Actinopterygii,Cyprinodontiformes,Goodeidae,Goodea,atripinnis,Goodea atripinnis
415,Actinopterygii,Characiformes,Curimatidae,Prochilodus,scrofa,Prochilodus scrofa
416,Actinopterygii,Perciformes,Channidae,Ophiocephalus,punctatus,Ophiocephalus punctatus
417,Actinopterygii,Semionotiformes,Lepisosteidae,Atractosteus,tropicus,Atractosteus tropicus
418,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,sinensis,Oryzias sinensis
419,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,managuense,Cichlasoma managuense
420,Actinopterygii,Cypriniformes,Cyprinidae,Chalcalburnus,chalcoides,Chalcalburnus chalcoides
421,Actinopterygii,Siluriformes,Bagridae,Mystus,bleekeri,Mystus bleekeri
422,Actinopterygii,Siluriformes,Clariidae,Clarias,submarginatus,Clarias submarginatus
423,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,Lipophrys pholis
424,Actinopterygii,Cypriniformes,Cyprinidae,Opsariichthys,uncirostris,Opsariichthys uncirostris
425,Actinopterygii,Siluriformes,Bagridae,Mystus,tengara,Mystus tengara
426,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,iberus,Aphanius iberus
427,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys,marmoratus,Scorpaenichthys marmoratus
428,Actinopterygii,Cypriniformes,Cyprinidae,Pogonichthys,macrolepidotus,Pogonichthys macrolepidotus
429,Actinopterygii,Atheriniformes,Melanotaeniidae,Pseudomugil,signifer,Pseudomugil signifer
430,Actinopterygii,Gasterosteiformes,Syngnathidae,Syngnathus,fuscus,Syngnathus fuscus
431,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,Pomoxis nigromaculatus
432,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,cephalus,Leuciscus cephalus
433,Actinopterygii,Perciformes,Cichlidae,Pterophyllum,scalare,Pterophyllum scalare
434,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,topeka,Notropis topeka
435,Actinopterygii,Cypriniformes,Cyprinidae,Pseudorasbora,parva,Pseudorasbora parva
436,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,sapo,Rhamdia sapo
437,Actinopterygii,Perciformes,Serranidae,Epinephelus,adscensionis,Epinephelus adscensionis
438,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,macrops,Barbus macrops
439,Actinopterygii,Perciformes,Eleotridae,Gobiomorphus,huttoni,Gobiomorphus huttoni
440,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,boga,Labeo boga
441,Actinopterygii,Cyprinodontiformes,Poeciliidae,Phalloceros,caudimaculatus,Phalloceros caudimaculatus
442,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,leuciscus,Leuciscus leuciscus
443,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,annularis,Pomoxis annularis
444,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,Apeltes quadracus
445,Actinopterygii,Perciformes,Moronidae,Morone,chrysops,Morone chrysops
446,Actinopterygii,Cypriniformes,Cyprinidae,Onychostoma,barbata,Onychostoma barbata
447,Actinopterygii,Perciformes,Cichlidae,Sarotherodon,galilaeus,Sarotherodon galilaeus
448,Actinopterygii,Perciformes,Labridae,Tautogolabrus,adspersus,Tautogolabrus adspersus
449,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,bata,Labeo bata
450,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,catostomus,Catostomus catostomus
451,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,leedsi,Cyprinella leedsi
452,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,whipplei,Cyprinella whipplei
453,Actinopterygii,Cypriniformes,Cyprinidae,Danio,devario,Danio devario
454,Actinopterygii,Clupeiformes,Clupeidae,Nematalosa,erebi,Nematalosa erebi
455,Actinopterygii,Perciformes,Percidae,Etheostoma,flabellare,Etheostoma flabellare
456,Actinopterygii,Clupeiformes,Engraulidae,Encrasicholina,purpurea,Encrasicholina purpurea
457,Actinopterygii,Perciformes,Centropomidae,Ambassis,macleayi,Ambassis macleayi
458,Actinopterygii,Atheriniformes,Atherinopsidae,Chirostoma,jordani,Chirostoma jordani
459,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,gurneyi,Barbus gurneyi
460,Actinopterygii,Perciformes,Chandidae,Pseudambassis,ranga,Pseudambassis ranga
461,Actinopterygii,Perciformes,Siganidae,Siganus,rivulatus,Siganus rivulatus
462,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,marianae,Craterocephalus marianae
463,Actinopterygii,Cypriniformes,Balitoridae,Noemacheilus,barbatulus,Noemacheilus barbatulus
464,Actinopterygii,Cypriniformes,Cyprinidae,Garra,gotyla,Garra gotyla
465,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,guganio,Barbus guganio
466,Actinopterygii,Clupeiformes,Clupeidae,Alosa,sapidissima,Alosa sapidissima
467,Actinopterygii,Perciformes,Centrarchidae,Ambloplites,rupestris,Ambloplites rupestris
468,Actinopterygii,Characiformes,Lebiasinidae,Nannostomus,unifasciatus,Nannostomus unifasciatus
469,Actinopterygii,Perciformes,Cichlidae,Geophagus,brasiliensis,Geophagus brasiliensis
470,Actinopterygii,Siluriformes,Clariidae,Clarias,macrocephalus,Clarias macrocephalus
471,Actinopterygii,Cypriniformes,Cyprinidae,Plagiognathops,microlepis,Plagiognathops microlepis
472,Actinopterygii,Cypriniformes,Cyprinidae,Platygobio,gracilis,Platygobio gracilis
473,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,niloticus,Labeo niloticus
474,Actinopterygii,Siluriformes,Pimelodidae,Lophiosilurus,alexandri,Lophiosilurus alexandri
475,Actinopterygii,Perciformes,Gobiidae,Gobius,sp.,Gobius sp.
476,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,buccatus,Notropis buccatus
477,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,sp.,Ichthyomyzon sp.
478,Actinopterygii,Osmeriformes,Retropinnidae,Retropinna,retropinna,Retropinna retropinna
479,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,stercusmuscarum,Craterocephalus stercusmuscarum
480,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,marjoriae,Craterocephalus marjoriae
481,Actinopterygii,Perciformes,Sillaginidae,Sillago,japonica,Sillago japonica
482,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,tetrazona,Puntius tetrazona
483,Actinopterygii,Perciformes,Anabantidae,Betta,splendens,Betta splendens
484,Actinopterygii,Perciformes,Sciaenidae,Aplodinotus,grunniens,Aplodinotus grunniens
485,Actinopterygii,Perciformes,Eleotridae,Gobiomorphus,cotidianus,Gobiomorphus cotidianus
486,Actinopterygii,Siluriformes,Ariidae,Arius,felis,Arius felis
487,Actinopterygii,Mugiliformes,Mugilidae,Mugil,sp.,Mugil sp.
488,Actinopterygii,Perciformes,Cichlidae,Caquetaia,kraussii,Caquetaia kraussii
489,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,sp.,Carassius sp.
490,Actinopterygii,Cypriniformes,Cyprinidae,Garra,mullya,Garra mullya
491,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,canicula,Scyliorhinus canicula
492,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,cognatus,Cottus cognatus
493,Actinopterygii,Cypriniformes,Cyprinidae,Rasbora,sp.,Rasbora sp.
